#Release 14.4 - par P.49d (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Sun May 18 03:47:29 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       my_aes_map.ncd
#OUTPUT FILE:      my_aes_pad.csv
#PART TYPE:        xc5vfx70t
#SPEED GRADE:      -1
#PACKAGE:          ff1136
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AC33,,IOBM,IO_L7P_SM2P_13,UNUSED,,13,,,,,,,,,
AC34,,IOBM,IO_L5P_SM4P_13,UNUSED,,13,,,,,,,,,
AD2,,OPAD,MGTTXP0_118,UNUSED,,,,,,,,,,,
AD3,,,MGTAVTTTX_118,,,,,,,,,,,,
AD4,Sl_rdDBus<78>,IOB,IO_L5P_18,OUTPUT,LVCMOS25*,18,12,SLOW,,,,UNLOCATED,NO,NONE,
AD5,Sl_rdDBus<27>,IOB,IO_L5N_18,OUTPUT,LVCMOS25*,18,12,SLOW,,,,UNLOCATED,NO,NONE,
AD6,Sl_rdDBus<31>,IOB,IO_L7P_18,OUTPUT,LVCMOS25*,18,12,SLOW,,,,UNLOCATED,NO,NONE,
AD7,Sl_rdDBus<43>,IOB,IO_L3N_18,OUTPUT,LVCMOS25*,18,12,SLOW,,,,UNLOCATED,NO,NONE,
AD8,,,GND,,,,,,,,,,,,
AD9,Sl_MWrErr<5>,IOB,IO_L9N_CC_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AD10,Sl_rdDBus<77>,IOB,IO_L10P_CC_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AD11,Sl_rdDBus<52>,IOB,IO_L10N_CC_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AD12,,,GND,,,,,,,,,,,,
AD13,,,VCCINT,,,,,,,,1.0,,,,
AD14,,,TDO_0,,,,,,,,,,,,
AD15,,,D_OUT_BUSY_0,,,,,,,,,,,,
AD16,,,GND,,,,,,,,,,,,
AD17,,,VCCINT,,,,,,,,1.0,,,,
AD18,,,GND,,,,,,,,,,,,
AD19,Sl_rdDBus<120>,IOB,IO_L9N_D0_FS0_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AD20,Sl_rdDBus<87>,IOB,IO_L7N_D4_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
