#Release 14.4 - par P.49d (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Sun May 18 03:47:29 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       my_aes_map.ncd
#OUTPUT FILE:      my_aes_pad.csv
#PART TYPE:        xc5vfx70t
#SPEED GRADE:      -1
#PACKAGE:          ff1136
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
E14,,IOBS,IO_L9N_CC_5,UNUSED,,5,,,,,,,,,
E15,,,GND,,,,,,,,,,,,
E16,,IOBS,IO_L10N_CC_5,UNUSED,,5,,,,,,,,,
E17,,IOBM,IO_L10P_CC_5,UNUSED,,5,,,,,,,,,
E18,,IOBM,IO_L12P_VRN_5,UNUSED,,5,,,,,,,,,
E19,,IOBM,IO_L4P_5,UNUSED,,5,,,,,,,,,
E20,,,VCCO_3,,,3,,,,,2.50,,,,
E21,,IOBM,IO_L6P_5,UNUSED,,5,,,,,,,,,
E22,,IOBM,IO_L15P_5,UNUSED,,5,,,,,,,,,
E23,,IOBS,IO_L17N_5,UNUSED,,5,,,,,,,,,
E24,,IOBS,IO_L19N_5,UNUSED,,5,,,,,,,,,
E25,,,GND,,,,,,,,,,,,
E26,,IOBM,IO_L11P_CC_19,UNUSED,,19,,,,,,,,,
E27,,IOBS,IO_L11N_CC_19,UNUSED,,19,,,,,,,,,
E28,,IOBM,IO_L10P_CC_19,UNUSED,,19,,,,,,,,,
E29,,IOBM,IO_L0P_15,UNUSED,,15,,,,,,,,,
E30,,,VCCO_19,,,19,,,,,any******,,,,
E31,,IOBS,IO_L3N_15,UNUSED,,15,,,,,,,,,
E32,,IOBM,IO_L6P_11,UNUSED,,11,,,,,,,,,
E33,,IOBS,IO_L6N_11,UNUSED,,11,,,,,,,,,
E34,,IOBS,IO_L5N_11,UNUSED,,11,,,,,,,,,
F2,,OPAD,MGTTXP0_116,UNUSED,,,,,,,,,,,
F3,,,MGTAVTTTX_116,,,,,,,,,,,,
F4,,,MGTAVCC_120,,,,,,,,,,,,
F5,Sl_wrDAck,IOB,IO_L15P_12,OUTPUT,LVCMOS25*,12,12,SLOW,,,,UNLOCATED,NO,NONE,
F6,Sl_rdDBus<97>,IOB,IO_L15N_12,OUTPUT,LVCMOS25*,12,12,SLOW,,,,UNLOCATED,NO,NONE,
F7,,,GND,,,,,,,,,,,,
F8,Sl_MIRQ<3>,IOB,IO_L1N_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
F9,Sl_MIRQ<2>,IOB,IO_L1P_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
F10,Sl_MIRQ<4>,IOB,IO_L2P_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
F11,PLB_wrDBus<19>,IOB,IO_L15P_20,INPUT,LVCMOS25*,20,,,,NONE,,UNLOCATED,NO,NONE,
F12,,,GND,,,,,,,,,,,,
F13,PLB_wrDBus<9>,IOB,IO_L19P_20,INPUT,LVCMOS25*,20,,,,NONE,,UNLOCATED,NO,NONE,
F14,,IOBM,IO_L18P_5,UNUSED,,5,,,,,,,,,
F15,,IOBS,IO_L18N_5,UNUSED,,5,,,,,,,,,
F16,,IOBS,IO_L16N_5,UNUSED,,5,,,,,,,,,
F17,,,VCCO_5,,,5,,,,,any******,,,,
F18,,IOBM,IO_L14P_5,UNUSED,,5,,,,,,,,,
F19,,IOBS,IO_L4N_VREF_5,UNUSED,,5,,,,,,,,,
F20,,IOBS,IO_L8N_CC_5,UNUSED,,5,,,,,,,,,
F21,,IOBM,IO_L11P_CC_5,UNUSED,,5,,,,,,,,,
F22,,,GND,,,,,,,,,,,,
F23,,IOBS,IO_L15N_5,UNUSED,,5,,,,,,,,,
F24,,IOBM,IO_L19P_5,UNUSED,,5,,,,,,,,,
F25,,IOBM,IO_L7P_19,UNUSED,,19,,,,,,,,,
F26,,IOBS,IO_L7N_19,UNUSED,,19,,,,,,,,,
F27,,,VCCO_23,,,23,,,,,any******,,,,
F28,,IOBS,IO_L10N_CC_19,UNUSED,,19,,,,,,,,,
F29,,IOBS,IO_L0N_15,UNUSED,,15,,,,,,,,,
F30,,IOBS,IO_L1N_15,UNUSED,,15,,,,,,,,,
F31,,IOBM,IO_L3P_15,UNUSED,,15,,,,,,,,,
F32,,,GND,,,,,,,,,,,,
F33,,IOBM,IO_L5P_11,UNUSED,,11,,,,,,,,,
F34,,IOBS,IO_L7N_11,UNUSED,,11,,,,,,,,,
G1,,IPAD,MGTRXP0_116,UNUSED,,,,,,,,,,,
G2,,OPAD,MGTTXN0_116,UNUSED,,,,,,,,,,,
G3,,,MGTAVTTRX_116,,,,,,,,,,,,
G4,,,GND,,,,,,,,,,,,
G5,Sl_MBusy<4>,IOB,IO_L13N_12,OUTPUT,LVCMOS25*,12,12,SLOW,,,,UNLOCATED,NO,NONE,
G6,Sl_rdDBus<35>,IOB,IO_L17P_12,OUTPUT,LVCMOS25*,12,12,SLOW,,,,UNLOCATED,NO,NONE,
G7,Sl_rdDBus<33>,IOB,IO_L17N_12,OUTPUT,LVCMOS25*,12,12,SLOW,,,,UNLOCATED,NO,NONE,
G8,Sl_MIRQ<6>,IOB,IO_L3P_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
G9,,,GND,,,,,,,,,,,,
G10,Sl_MIRQ<5>,IOB,IO_L2N_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
G11,PLB_wrDBus<15>,IOB,IO_L13P_20,INPUT,LVCMOS25*,20,,,,NONE,,UNLOCATED,NO,NONE,
G12,PLB_wrDBus<1>,IOB,IO_L13N_20,INPUT,LVCMOS25*,20,,,,NONE,,UNLOCATED,NO,NONE,
G13,PLB_wrDBus<17>,IOB,IO_L19N_20,INPUT,LVCMOS25*,20,,,,NONE,,UNLOCATED,NO,NONE,
G14,,,VCCO_1,,,1,,,,,2.50,,,,
G15,PLB_BE<4>,IOB,IO_L2P_GC_VRN_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G16,PLB_BE<5>,IOB,IO_L2N_GC_VRP_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G17,,IOBM,IO_L16P_5,UNUSED,,5,,,,,,,,,
G18,,IOBS,IO_L14N_VREF_5,UNUSED,,5,,,,,,,,,
G19,,,GND,,,,,,,,,,,,
G20,,IOBM,IO_L8P_CC_5,UNUSED,,5,,,,,,,,,
G21,,IOBS,IO_L11N_CC_5,UNUSED,,5,,,,,,,,,
G22,PLB_wrDBus<20>,IOB,IO_L4P_A11_D27_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
G23,Sl_rdDBus<66>,IOB,IO_L8P_CC_A3_D19_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
G24,,,VCCO_23,,,23,,,,,any******,,,,
G25,,IOBM,IO_L5P_19,UNUSED,,19,,,,,,,,,
G26,,IOBS,IO_L5N_19,UNUSED,,19,,,,,,,,,
G27,,IOBM,IO_L8P_CC_19,UNUSED,,19,,,,,,,,,
G28,,IOBS,IO_L9N_CC_19,UNUSED,,19,,,,,,,,,
G29,,,GND,,,,,,,,,,,,
G30,,IOBM,IO_L1P_15,UNUSED,,15,,,,,,,,,
G31,,IOBS,IO_L5N_15,UNUSED,,15,,,,,,,,,
G32,,IOBM,IO_L4P_11,UNUSED,,11,,,,,,,,,
G33,,IOBM,IO_L7P_11,UNUSED,,11,,,,,,,,,
G34,,,GND,,,,,,,,,,,,
H1,,IPAD,MGTRXN0_116,UNUSED,,,,,,,,,,,
H2,,,GND,,,,,,,,,,,,
H3,,IPAD,MGTREFCLKN_116,UNUSED,,,,,,,,,,,
H4,,IPAD,MGTREFCLKP_116,UNUSED,,,,,,,,,,,
H5,Sl_MBusy<3>,IOB,IO_L13P_12,OUTPUT,LVCMOS25*,12,12,SLOW,,,,UNLOCATED,NO,NONE,
H6,,,GND,,,,,,,,,,,,
H7,PLB_PAValid,IOB,IO_L11P_CC_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
H8,Sl_MIRQ<7>,IOB,IO_L3N_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
H9,Sl_rdWdAddr<3>,IOB,IO_L7N_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
H10,Sl_MRdErr<3>,IOB,IO_L7P_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
H11,,,VCCO_20,,,20,,,,,2.50,,,,
H12,PLB_masterID<0>,IOB,IO_L7N_A4_D20_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H13,PLB_wrDBus<2>,IOB,IO_L8N_GC_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H14,PLB_BE<12>,IOB,IO_L6P_GC_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H15,PLB_BE<13>,IOB,IO_L6N_GC_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H16,,,GND,,,,,,,,,,,,
H17,PLB_BE<0>,IOB,IO_L0P_CC_GC_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H18,PLB_BE<1>,IOB,IO_L0N_CC_GC_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H19,PLB_ABus<28>,IOB,IO_L9P_GC_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H20,Sl_rdDBus<72>,IOB,IO_L9N_GC_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H21,,,GND,,,,,,,,,,,,
H22,PLB_wrDBus<21>,IOB,IO_L4N_VREF_A10_D26_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H23,Sl_rdDBus<8>,IOB,IO_L8N_CC_A2_D18_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H24,,IOBS,IO_L6N_19,UNUSED,,19,,,,,,,,,
H25,,IOBM,IO_L6P_19,UNUSED,,19,,,,,,,,,
H26,,,GND,,,,,,,,,,,,
H27,,IOBS,IO_L8N_CC_19,UNUSED,,19,,,,,,,,,
H28,,IOBM,IO_L9P_CC_19,UNUSED,,19,,,,,,,,,
H29,,IOBM,IO_L2P_15,UNUSED,,15,,,,,,,,,
H30,,IOBM,IO_L5P_15,UNUSED,,15,,,,,,,,,
H31,,,VCCO_19,,,19,,,,,any******,,,,
H32,,IOBS,IO_L4N_VREF_11,UNUSED,,11,,,,,,,,,
H33,,IOBS,IO_L8N_CC_11,UNUSED,,11,,,,,,,,,
H34,,IOBM,IO_L9P_CC_11,UNUSED,,11,,,,,,,,,
J1,,IPAD,MGTRXN1_116,UNUSED,,,,,,,,,,,
J2,,,GND,,,,,,,,,,,,
J3,,,MGTAVCC_116,,,,,,,,,,,,
J4,,,MGTAVCC_116,,,,,,,,,,,,
J5,Sl_rdComp,IOB,IO_L8N_CC_12,OUTPUT,LVCMOS25*,12,12,SLOW,,,,UNLOCATED,NO,NONE,
J6,Sl_rearbitrate,IOB,IO_L8P_CC_12,OUTPUT,LVCMOS25*,12,12,SLOW,,,,UNLOCATED,NO,NONE,
J7,Sl_MBusy<7>,IOB,IO_L11N_CC_12,OUTPUT,LVCMOS25*,12,12,SLOW,,,,UNLOCATED,NO,NONE,
J8,,,VCCO_20,,,20,,,,,2.50,,,,
J9,Sl_rdWdAddr<1>,IOB,IO_L9N_CC_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
J10,Sl_MWrErr<3>,IOB,IO_L9P_CC_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
J11,Sl_MRdErr<6>,IOB,IO_L5N_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
J12,PLB_masterID<2>,IOB,IO_L7P_A5_D21_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J13,,,GND,,,,,,,,,,,,
J14,PLB_ABus<29>,IOB,IO_L8P_GC_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J15,Sl_rdDBus<2>,IOB,IO_L3N_A12_D28_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J16,PLB_BE<8>,IOB,IO_L4P_GC_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J17,PLB_BE<9>,IOB,IO_L4N_GC_VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J18,,,GND,,,,,,,,,,,,
J19,PLB_BE<7>,IOB,IO_L3N_GC_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J20,PLB_BE<14>,IOB,IO_L7P_GC_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J21,PLB_BE<15>,IOB,IO_L7N_GC_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J22,PLB_wrDBus<23>,IOB,IO_L2P_A15_D31_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J23,,,GND,,,,,,,,,,,,
J24,,IOBM,IO_L2P_19,UNUSED,,19,,,,,,,,,
J25,,IOBS,IO_L2N_19,UNUSED,,19,,,,,,,,,
J26,,IOBS,IO_L4N_VREF_19,UNUSED,,19,,,,,,,,,
J27,,IOBM,IO_L4P_19,UNUSED,,19,,,,,,,,,
J28,,,VCCO_19,,,19,,,,,any******,,,,
J29,,IOBS,IO_L2N_15,UNUSED,,15,,,,,,,,,
J30,,IOBM,IO_L6P_15,UNUSED,,15,,,,,,,,,
J31,,IOBS,IO_L6N_15,UNUSED,,15,,,,,,,,,
J32,,IOBM,IO_L8P_CC_11,UNUSED,,11,,,,,,,,,
J33,,,GND,,,,,,,,,,,,
J34,,IOBS,IO_L9N_CC_11,UNUSED,,11,,,,,,,,,
K1,,IPAD,MGTRXP1_116,UNUSED,,,,,,,,,,,
K2,,OPAD,MGTTXN1_116,UNUSED,,,,,,,,,,,
K3,,,MGTAVCCPLL_116,,,,,,,,,,,,
K4,,,GND,,,,,,,,,,,,
K5,,,GND,,,,,,,,,,,,
K6,PLB_type<1>,IOB,IO_L6N_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
K7,PLB_type<2>,IOB,IO_L6P_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
K8,Sl_SSize<0>,IOB,IO_L10P_CC_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
K9,Sl_MRdErr<1>,IOB,IO_L10N_CC_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
K10,,,GND,,,,,,,,,,,,
K11,Sl_MRdErr<0>,IOB,IO_L5P_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
K12,PLB_ABus<27>,IOB,IO_L9N_CC_A0_D16_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K13,PLB_ABus<26>,IOB,IO_L9P_CC_A1_D17_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K14,Sl_rdDBus<98>,IOB,IO_L5N_A8_D24_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K15,,,GND,,,,,,,,,,,,
K16,Sl_rdDBus<34>,IOB,IO_L3P_A13_D29_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K17,PLB_BE<2>,IOB,IO_L1P_CC_GC_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K18,PLB_BE<6>,IOB,IO_L3P_GC_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K19,PLB_BE<11>,IOB,IO_L5N_GC_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K20,,,GND,,,,,,,,,,,,
K21,PLB_wrDBus<22>,IOB,IO_L2N_A14_D30_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K22,PLB_masterID<1>,IOB,IO_L6N_A6_D22_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K23,Sl_addrAck,IOB,IO_L6P_A7_D23_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K24,,IOBM,IO_L0P_19,UNUSED,,19,,,,,,,,,
K25,,,GND,,,,,,,,,,,,
K26,,IOBS,IO_L14N_VREF_19,UNUSED,,19,,,,,,,,,
K27,,IOBM,IO_L14P_19,UNUSED,,19,,,,,,,,,
K28,,IOBM,IO_L13P_19,UNUSED,,19,,,,,,,,,
K29,,IOBS,IO_L4N_VREF_15,UNUSED,,15,,,,,,,,,
K30,,,GND,,,,,,,,,,,,
K31,,IOBM,IO_L9P_CC_15,UNUSED,,15,,,,,,,,,
K32,,IOBS,IO_L11N_CC_SM14N_11,UNUSED,,11,,,,,,,,,
K33,,IOBM,IO_L11P_CC_SM14P_11,UNUSED,,11,,,,,,,,,
K34,,IOBS,IO_L10N_CC_SM15N_11,UNUSED,,11,,,,,,,,,
L2,,OPAD,MGTTXP1_116,UNUSED,,,,,,,,,,,
L3,,,MGTAVTTTX_116,,,,,,,,,,,,
L4,PLB_size<1>,IOB,IO_L4P_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
L5,PLB_wrDBus<28>,IOB,IO_L4N_VREF_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
L6,PLB_wrDBus<27>,IOB,IO_L2N_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
L7,,,GND,,,,,,,,,,,,
L8,PLB_wrDBus<0>,IOB,IO_L14N_VREF_20,INPUT,LVCMOS25*,20,,,,NONE,,UNLOCATED,NO,NONE,
L9,PLB_wrDBus<10>,IOB,IO_L16N_20,INPUT,LVCMOS25*,20,,,,NONE,,UNLOCATED,NO,NONE,
L10,Sl_rdWdAddr<0>,IOB,IO_L12P_VRN_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
L11,PLB_wrDBus<13>,IOB,IO_L12N_VRP_20,INPUT,LVCMOS25*,20,,,,NONE,,UNLOCATED,NO,NONE,
L12,,,VCCAUX,,,,,,,,2.5,,,,
L13,,,GND,,,,,,,,,,,,
L14,PLB_wrDBus<29>,IOB,IO_L5P_A9_D25_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L15,PLB_wrDBus<11>,IOB,IO_L1P_A17_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L16,PLB_wrDBus<18>,IOB,IO_L1N_A16_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L17,,,GND,,,,,,,,,,,,
L18,PLB_BE<3>,IOB,IO_L1N_CC_GC_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L19,PLB_BE<10>,IOB,IO_L5P_GC_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L20,Sl_rdDBus<104>,IOB,IO_L0N_A18_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L21,Sl_rdDBus<40>,IOB,IO_L0P_A19_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L22,,,GND,,,,,,,,,,,,
L23,,,VBATT_0,,,,,,,,,,,,
L24,,IOBS,IO_L0N_19,UNUSED,,19,,,,,,,,,
L25,,IOBM,IO_L1P_19,UNUSED,,19,,,,,,,,,
L26,,IOBS,IO_L1N_19,UNUSED,,19,,,,,,,,,
L27,,,GND,,,,,,,,,,,,
L28,,IOBS,IO_L13N_19,UNUSED,,19,,,,,,,,,
L29,,IOBM,IO_L4P_15,UNUSED,,15,,,,,,,,,
L30,,IOBM,IO_L7P_15,UNUSED,,15,,,,,,,,,
L31,,IOBS,IO_L9N_CC_15,UNUSED,,15,,,,,,,,,
L32,,,VCCO_15,,,15,,,,,any******,,,,
L33,,IOBM,IO_L13P_11,UNUSED,,11,,,,,,,,,
L34,,IOBM,IO_L10P_CC_SM15P_11,UNUSED,,11,,,,,,,,,
M2,,OPAD,MGTTXP0_112,UNUSED,,,,,,,,,,,
M3,,,MGTAVTTTX_112,,,,,,,,,,,,
M4,,,GND,,,,,,,,,,,,
M5,PLB_wrDBus<16>,IOB,IO_L0N_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
M6,PLB_wrDBus<30>,IOB,IO_L0P_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
M7,PLB_wrDBus<26>,IOB,IO_L2P_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
M8,PLB_wrDBus<6>,IOB,IO_L14P_20,INPUT,LVCMOS25*,20,,,,NONE,,UNLOCATED,NO,NONE,
M9,,,VCCO_12,,,12,,,,,2.50,,,,
M10,PLB_wrDBus<7>,IOB,IO_L16P_20,INPUT,LVCMOS25*,20,,,,NONE,,UNLOCATED,NO,NONE,
M11,,,VCCAUX,,,,,,,,2.5,,,,
M12,,,GND,,,,,,,,,,,,
M13,,,VCCINT,,,,,,,,1.0,,,,
M14,,,GND,,,,,,,,,,,,
M15,,,DONE_0,,,,,,,,,,,,
M16,,,GND,,,,,,,,,,,,
M17,,,VCCINT,,,,,,,,1.0,,,,
M18,,,GND,,,,,,,,,,,,
M19,,,VCCINT,,,,,,,,1.0,,,,
M20,,,GND,,,,,,,,,,,,
M21,,,VCCAUX,,,,,,,,2.5,,,,
M22,,,PROGRAM_B_0,,,,,,,,,,,,
M23,,,HSWAPEN_0,,,,,,,,,,,,
M24,,,GND,,,,,,,,,,,,
M25,,IOBM,IO_L3P_19,UNUSED,,19,,,,,,,,,
M26,,IOBS,IO_L3N_19,UNUSED,,19,,,,,,,,,
M27,,IOBS,IO_L12N_VRP_19,UNUSED,,19,,,,,,,,,
M28,,IOBM,IO_L15P_19,UNUSED,,19,,,,,,,,,
M29,,,VCCO_15,,,15,,,,,any******,,,,
M30,,IOBS,IO_L7N_15,UNUSED,,15,,,,,,,,,
M31,,IOBM,IO_L11P_CC_15,UNUSED,,15,,,,,,,,,
M32,,IOBS,IO_L13N_11,UNUSED,,11,,,,,,,,,
M33,,IOBS,IO_L12N_VRP_11,UNUSED,,11,,,,,,,,,
M34,,,GND,,,,,,,,,,,,
N1,,IPAD,MGTRXP0_112,UNUSED,,,,,,,,,,,
N2,,OPAD,MGTTXN0_112,UNUSED,,,,,,,,,,,
N3,,,MGTAVTTRX_112,,,,,,,,,,,,
N4,,,GND,,,,,,,,,,,,
N5,PLB_size<2>,IOB,IO_L3P_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
N6,,,VCCO_12,,,12,,,,,2.50,,,,
N7,PLB_wrDBus<12>,IOB,IO_L1N_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
N8,PLB_wrDBus<25>,IOB,IO_L1P_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
N9,PLB_wrDBus<3>,IOB,IO_L18N_20,INPUT,LVCMOS25*,20,,,,NONE,,UNLOCATED,NO,NONE,
N10,PLB_wrDBus<5>,IOB,IO_L18P_20,INPUT,LVCMOS25*,20,,,,NONE,,UNLOCATED,NO,NONE,
N11,,,GND,,,,,,,,,,,,
N12,,,VCCINT,,,,,,,,1.0,,,,
N13,,,GND,,,,,,,,,,,,
N14,,,INIT_B_0,,,,,,,,,,,,
N15,,,CCLK_0,,,,,,,,,,,,
N16,,,VCCINT,,,,,,,,1.0,,,,
N17,,,GND,,,,,,,,,,,,
N18,,,VCCINT,,,,,,,,1.0,,,,
N19,,,GND,,,,,,,,,,,,
N20,,,VCCINT,,,,,,,,1.0,,,,
N21,,,GND,,,,,,,,,,,,
N22,,,CS_B_0,,,,,,,,,,,,
N23,,,RDWR_B_0,,,,,,,,,,,,
N24,,IOBM,IO_L17P_19,UNUSED,,19,,,,,,,,,
N25,,IOBS,IO_L18N_19,UNUSED,,19,,,,,,,,,
N26,,,GND,,,,,,,,,,,,
N27,,IOBM,IO_L12P_VRN_19,UNUSED,,19,,,,,,,,,
N28,,IOBS,IO_L15N_19,UNUSED,,19,,,,,,,,,
N29,,IOBM,IO_L8P_CC_15,UNUSED,,15,,,,,,,,,
N30,,IOBS,IO_L11N_CC_15,UNUSED,,15,,,,,,,,,
N31,,,GND,,,,,,,,,,,,
N32,,IOBS,IO_L15N_SM13N_11,UNUSED,,11,,,,,,,,,
N33,,IOBM,IO_L12P_VRN_11,UNUSED,,11,,,,,,,,,
N34,,IOBS,IO_L14N_VREF_11,UNUSED,,11,,,,,,,,,
P1,,IPAD,MGTRXN0_112,UNUSED,,,,,,,,,,,
P2,,,GND,,,,,,,,,,,,
P3,,IPAD,MGTREFCLKN_112,UNUSED,,,,,,,,,,,
P4,,IPAD,MGTREFCLKP_112,UNUSED,,,,,,,,,,,
P5,PLB_wrDBus<24>,IOB,IO_L3N_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
P6,PLB_size<0>,IOB,IO_L5N_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
P7,PLB_size<3>,IOB,IO_L5P_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
P8,,,GND,,,,,,,,,,,,
P9,Sl_MBusy<2>,IOB,IO_L12N_VRP_12,OUTPUT,LVCMOS25*,12,12,SLOW,,,,UNLOCATED,NO,NONE,
P10,Sl_MBusy<6>,IOB,IO_L14N_VREF_12,OUTPUT,LVCMOS25*,12,12,SLOW,,,,UNLOCATED,NO,NONE,
P11,,,VCCAUX,,,,,,,,2.5,,,,
P12,,,GND,,,,,,,,,,,,
P13,,,VCCINT,,,,,,,,1.0,,,,
P14,,,GND,,,,,,,,,,,,
P15,,,D_IN_0,,,,,,,,,,,,
P16,,,GND,,,,,,,,,,,,
P17,,,VCCINT,,,,,,,,1.0,,,,
P18,,,GND,,,,,,,,,,,,
P19,,,VCCINT,,,,,,,,1.0,,,,
P20,,,GND,,,,,,,,,,,,
P21,,,VCCINT,,,,,,,,1.0,,,,
P22,,,GND,,,,,,,,,,,,
P23,,,VCCAUX,,,,,,,,2.5,,,,
P24,,IOBS,IO_L17N_19,UNUSED,,19,,,,,,,,,
P25,,IOBM,IO_L18P_19,UNUSED,,19,,,,,,,,,
P26,,IOBM,IO_L16P_19,UNUSED,,19,,,,,,,,,
P27,,IOBS,IO_L16N_19,UNUSED,,19,,,,,,,,,
